Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas
Actuaría,"Facultad de Ciencias / FES Acatlán, Ciudad de México, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,210. La asignación total de lugares para esta carrera fue de 695, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 41% del alumnado de primer ingreso son mujeres y 59% hombres.",Facultad de Ciencias: 109 | FES Acatlán: 97,Facultad de Ciencias: 9.00 | FES Acatlán: 8.73,Asignación total de 695 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Sólidos conocimientos en álgebra, cálculo y geometría analítica. Manejo de programas de computación. Creatividad, gusto por el estudio, tenacidad y perseverancia para el análisis y solución de problemas.","Los actuarios son profesionistas que estudian, plantean, formulan y aplican modelos de contenido matemático con el fin de proveer información para la planeación, previsión y toma de decisiones, y para resolver problemas económicos y sociales que involucran riesgos.","actuaría, seguros, finanzas, demografía, estadística, matemáticas, riesgo"
Administración,"Facultad de Contaduría y Administración (Cd. Mx., Oaxaca) / FES Cuautitlán (Edo. Méx.)",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 15,544. La asignación total de lugares para esta carrera fue de 2,539, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 53% del alumnado de primer ingreso son mujeres y 47% hombres.",FCA Escolarizada: 90 | FCA Abierta: 78 | FCA a Distancia: 75 | FES Cuautitlán: 60 | Oaxaca: 45,FCA Escolarizada: 8.11 | FCA Abierta: 7.24 | FCA a Distancia: 8.27 | FES Cuautitlán: 7.46,"Asignación total de 2,539 lugares","Bases matemáticas, lectura y redacción, ciencias sociales, TIC, comprensión lectora en español y nociones de inglés. Habilidades de comunicación asertiva, trabajo colaborativo, creatividad, liderazgo, pensamiento analítico y adaptabilidad. Compromiso de servicio, responsabilidad.","En Administración se forman profesionistas con visión estratégica, ética y de compromiso social expertos en promover el logro eficiente de objetivos de organizaciones públicas, privadas y sociales en sus diferentes niveles jerárquicos.","administración, gestión, empresas, organizaciones, recursos humanos, finanzas, contabilidad, emprendimiento, liderazgo"
Administración Agropecuaria,"ENES Unidad León, Guanajuato",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 45. La asignación total de lugares para esta carrera fue de 26, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 50% del alumnado de primer ingreso son mujeres y 50% hombres.",ENES Unidad León: 45,ENES Unidad León: 7.22,Cupo máximo de 40 alumnos,"Habilidades para la búsqueda, análisis y síntesis de información; conocimientos básicos de matemáticas y estadística; capacidad para comunicarse de manera oral y escrita; interés en elevar los niveles de vida de los productores del campo y sus familias.","Se forman profesionales capaces de detectar, analizar, emprender y administrar proyectos agrícolas, pecuarios, piscícolas, forestales y medioambientales, aplicando los principios y técnicas administrativas, financieras y mercadológicas.","administración, agropecuario, agricultura, ganadería, proyectos, desarrollo rural, sustentabilidad"
Administración de Archivos y Gestión Documental,ENES Unidad Morelia (Michoacán) / Facultad de Filosofía y Letras (Cd. Mx.),Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 382. La asignación total de lugares para esta carrera fue de 164, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 59% del alumnado de primer ingreso son mujeres y 41% hombres.",ENES Morelia a Distancia: 51 | FFyL: 55,ENES Morelia a Distancia: 8.53 | FFyL: 7.77,Asignación total de 164 lugares,"Conocimientos de los contextos y procesos sociales, económicos y culturales de México. Habilidades de comprensión lectora, comunicación escrita e interacción social. Compromiso social y disposición para trabajar en equipo.","Para atender las necesidades actuales en materia de manejo, disponibilidad y uso de la documentación, surge la necesidad de contar con profesionales que utilizan la teoría y práctica archivística, y los instrumentos de la administración para optimizar recursos y servicios.","archivística, gestión documental, administración, archivos, documentos, información, preservación"
Antropología,"Facultad de Ciencias Políticas y Sociales, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 460. La asignación total de lugares para esta carrera fue de 150, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",Facultad de Ciencias Políticas y Sociales: 74,Facultad de Ciencias Políticas y Sociales: 7.76,Asignación total de 150 lugares,"Conocimientos de los elementos teóricos y metodológicos en Ciencias Sociales y de geografía e historia. Habilidades para comprender problemáticas sociales y relacionarse en contextos multiculturales. Interés por explorar fenómenos sociales y culturales, respeto por la diversidad.","La carrera de Antropología contribuye a la formación de profesionales con una perspectiva integral de la disciplina, con capacidad para generar conocimientos sobre las sociedades y culturas del presente y del pasado, con pensamiento crítico y humanista.","antropología, arqueología, antropología social, antropología física, lingüística antropológica, cultura, sociedad, diversidad"
Arquitectura,Facultad de Arquitectura (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,663. La asignación total de lugares para esta carrera fue de 1,795, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 52% del alumnado de primer ingreso son mujeres y 48% hombres.",Facultad de Arquitectura: 96 | FES Acatlán: 77 | FES Aragón: 82,Facultad de Arquitectura: 8.34 | FES Acatlán: 7.84 | FES Aragón: 8.00,"Asignación total de 1,795 lugares","Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Conocimientos de computación e inglés. Capacidad de observación y percepción visual, habilidad para dibujar, análisis crítico y síntesis. Inclinación hacia la solución práctica de problemas.","El arquitecto proyecta y construye espacios habitables que satisfagan las necesidades humanas y, con base en sus conocimientos, genera los ambientes idóneos para lograr un modo de vivir más pleno y humano, que se traduce en desarrollo y bienestar.","arquitectura, diseño, construcción, urbanismo, proyecto arquitectónico, espacio habitable, edificación"
Arquitectura de Paisaje,"Facultad de Arquitectura, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 437. La asignación total de lugares para esta carrera fue de 67, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 76% del alumnado de primer ingreso son mujeres y 24% hombres.",Facultad de Arquitectura: 87,Facultad de Arquitectura: 8.59,Asignación total de 67 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Creatividad en resolución de problemas espaciales, capacidad para conceptualizar y comunicar gráficamente ideas, habilidad en dibujo, capacidad de observación del medio ambiente.","El Arquitecto Paisajista planifica, diseña, construye y maneja espacios abiertos como parte del sistema natural y humano, desde una perspectiva responsable, incluyente y significativa en lo ambiental, social y cultural.","arquitectura de paisaje, paisajismo, diseño de paisaje, espacios abiertos, medio ambiente, planificación territorial, jardines, parques"
Arte y Diseño,Información no disponible (URL no encontrada),Información no disponible (URL no encontrada),Información no disponible (URL no encontrada),Información no disponible (URL no encontrada),Información no disponible (URL no encontrada),Información no disponible (URL no encontrada),Información no disponible (URL no encontrada),Información no disponible (URL no encontrada),Información no disponible (URL no encontrada)
Artes Visuales,FES Cuautitlán (Edo. Méx.) / Facultad de Artes y Diseño (Cd. Mx.),Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,737. La asignación total de lugares para esta carrera fue de 162, por lo que de cada 11 estudiantes que demandaron la carrera, ingresó 1. El 69% del alumnado de primer ingreso son mujeres y 31% hombres.",FAD: 78 | FES Cuautitlán: 58,FAD Taxco: 8.00 | FES Cuautitlán: 7.62,Asignación total de 162 lugares,Haber cursado el Área de Humanidades y Artes o conocimientos en Teoría del Arte. Habilidad en dibujo y creatividad. Capacidad de observación y percepción visual para manejar formas y colores. Interés por las expresiones culturales. Disciplina y disposición al trabajo en equipo.,"El profesional en Artes Visuales está preparado para producir obra plástica y visual significativa, mediante el dominio de los procesos técnicos, formales, conceptuales y metodológicos de las disciplinas que conforman este campo.","artes visuales, artes plásticas, pintura, escultura, grabado, fotografía, arte contemporáneo, creación artística"
Bibliotecología y Estudios de la Información,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 206. La asignación total de lugares para esta carrera fue de 142, por lo que de cada 1 estudiante que demandó la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",Facultad de Filosofía y Letras: 55,Facultad de Filosofía y Letras: 7.49,Asignación total de 142 lugares,"Conocimientos sobre los contextos sociales, económicos y culturales de México. Habilidades de comprensión lectora, comunicación escrita e interacción social. Compromiso social y disposición para trabajar en equipo.","El bibliotecólogo es el profesional que organiza, administra, preserva y difunde la información registrada en cualquier soporte, con el fin de satisfacer las necesidades de información de la sociedad.","bibliotecología, estudios de la información, bibliotecas, archivística, documentación, gestión de la información, organización del conocimiento"
